Date,Price,Open,High,Low,Vol.,Change %,Stock symbol,Bank
2013-11-15,4230.7,4230.7,4320.7,4140.7,190030.0,0.0,AGR,Agribank
2013-11-18,4320.7,4320.7,4410.7,4320.7,353400.0,2.13,AGR,Agribank
2013-11-19,4320.7,4320.7,4410.7,4230.7,97860.0,0.0,AGR,Agribank
2013-11-20,4410.7,4320.7,4500.7,4320.7,390920.0,2.08,AGR,Agribank
2013-11-21,4410.7,4500.7,4680.8,4410.7,846720.0,0.0,AGR,Agribank
2013-11-22,4500.7,4320.7,4590.7,4320.7,218730.0,2.04,AGR,Agribank
2013-11-25,4590.7,4590.7,4680.8,4500.7,195550.0,2.0,AGR,Agribank
2013-11-26,4500.7,4590.7,4590.7,4500.7,184300.0,-1.96,AGR,Agribank
2013-11-27,4500.7,4590.7,4680.8,4500.7,259880.0,0.0,AGR,Agribank
2013-11-28,4500.7,4500.7,4500.7,4410.7,182250.0,0.0,AGR,Agribank
2013-11-29,4320.7,4500.7,4500.7,4320.7,296540.0,-4.0,AGR,Agribank
2013-12-02,4410.7,4410.7,4500.7,4320.7,94990.0,2.08,AGR,Agribank
2013-12-03,4500.7,4410.7,4590.7,4410.7,271230.0,2.04,AGR,Agribank
2013-12-04,4590.7,4590.7,4770.8,4500.7,1050000.0,2.0,AGR,Agribank
2013-12-05,4680.8,4770.8,4860.8,4500.7,1580000.0,1.96,AGR,Agribank
2013-12-06,4680.8,4680.8,4770.8,4590.7,251230.0,0.0,AGR,Agribank
2013-12-09,4500.7,4680.8,4770.8,4500.7,317130.0,-3.85,AGR,Agribank
2013-12-10,4500.7,4500.7,4590.7,4410.7,418050.0,0.0,AGR,Agribank
2013-12-11,4320.7,4410.7,4500.7,4230.7,439140.0,-4.0,AGR,Agribank
2013-12-12,4500.7,4320.7,4500.7,4320.7,240160.0,4.17,AGR,Agribank
2013-12-13,4500.7,4500.7,4500.7,4410.7,176990.0,0.0,AGR,Agribank
2013-12-16,4500.7,4500.7,4500.7,4320.7,138850.0,0.0,AGR,Agribank
2013-12-17,4500.7,4410.7,4590.7,4410.7,34940.0,0.0,AGR,Agribank
2013-12-18,4320.7,4500.7,4500.7,4320.7,227960.0,-4.0,AGR,Agribank
2013-12-19,4500.7,4410.7,4500.7,4410.7,154500.0,4.17,AGR,Agribank
2013-12-20,4410.7,4410.7,4590.7,4410.7,306420.0,-2.0,AGR,Agribank
2013-12-23,4410.7,4410.7,4500.7,4410.7,203990.0,0.0,AGR,Agribank
2013-12-24,4500.7,4410.7,4500.7,4320.7,158690.0,2.04,AGR,Agribank
2013-12-25,4410.7,4500.7,4500.7,4320.7,75310.0,-2.0,AGR,Agribank
2013-12-26,4410.7,4410.7,4500.7,4320.7,190420.0,0.0,AGR,Agribank
2013-12-27,4320.7,4410.7,4500.7,4320.7,71310.0,-2.04,AGR,Agribank
2013-12-30,4230.7,4410.7,4410.7,4230.7,124020.0,-2.08,AGR,Agribank
2013-12-31,4320.7,4230.7,4320.7,4230.7,200600.0,2.13,AGR,Agribank
2014-01-02,4320.7,4320.7,4410.7,4230.7,86420.0,0.0,AGR,Agribank
2014-01-03,4320.7,4320.7,4410.7,4230.7,50150.0,0.0,AGR,Agribank
2014-01-06,4320.7,4320.7,4320.7,4230.7,76160.0,0.0,AGR,Agribank
2014-01-07,4410.7,4410.7,4500.7,4410.7,305440.0,2.08,AGR,Agribank
2014-01-08,4500.7,4410.7,4590.7,4320.7,384080.0,2.04,AGR,Agribank
2014-01-09,4770.8,4590.7,4770.8,4590.7,1020000.0,6.0,AGR,Agribank
2014-01-10,4590.7,4680.8,4770.8,4590.7,384460.0,-3.78,AGR,Agribank
2014-01-13,4590.7,4590.7,4680.8,4500.7,287370.0,0.0,AGR,Agribank
2014-01-14,4410.7,4590.7,4590.7,4410.7,237690.0,-3.92,AGR,Agribank
2014-01-15,4410.7,4320.7,4500.7,4230.7,1260000.0,0.0,AGR,Agribank
2014-01-16,4320.7,4410.7,4410.7,4230.7,198300.0,-2.04,AGR,Agribank
2014-01-17,4320.7,4320.7,4410.7,4230.7,323130.0,0.0,AGR,Agribank
2014-01-20,4230.7,4320.7,4410.7,4230.7,352630.0,-2.08,AGR,Agribank
2014-01-21,4320.7,4140.7,4320.7,4140.7,173090.0,2.13,AGR,Agribank
2014-01-22,4320.7,4320.7,4320.7,4230.7,144070.0,0.0,AGR,Agribank
2014-01-23,4320.7,4320.7,4320.7,4230.7,49610.0,0.0,AGR,Agribank
2014-01-24,4320.7,4230.7,4320.7,4230.7,296140.0,0.0,AGR,Agribank
2014-01-27,4230.7,4230.7,4410.7,4230.7,177220.0,-2.08,AGR,Agribank
2014-02-06,4320.7,4230.7,4410.7,4230.7,140330.0,2.13,AGR,Agribank
2014-02-07,4320.7,4320.7,4410.7,4230.7,245520.0,0.0,AGR,Agribank
2014-02-10,4410.7,4230.7,4410.7,4230.7,113370.0,2.08,AGR,Agribank
2014-02-11,4230.7,4410.7,4410.7,4230.7,437140.0,-4.08,AGR,Agribank
2014-02-12,4410.7,4320.7,4410.7,4320.7,224040.0,4.25,AGR,Agribank
2014-02-13,4500.7,4500.7,4500.7,4320.7,539530.0,2.04,AGR,Agribank
2014-02-14,4590.7,4500.7,4680.8,4500.7,492290.0,2.0,AGR,Agribank
2014-02-17,4590.7,4590.7,4680.8,4500.7,398500.0,0.0,AGR,Agribank
2014-02-18,4680.8,4590.7,4680.8,4500.7,679740.0,1.96,AGR,Agribank
2014-02-19,4590.7,4680.8,4680.8,4500.7,406830.0,-1.92,AGR,Agribank
2014-02-20,4500.7,4500.7,4680.8,4410.7,674350.0,-1.96,AGR,Agribank
2014-02-21,4410.7,4500.7,4500.7,4320.7,264840.0,-2.0,AGR,Agribank
